defense,metric,games,allowed_per_game,league_avg,score,rank
IND,pass_yds,18,269.453,222.996,1.208,1
DAL,pass_yds,18,257.097,222.996,1.153,2
CHI,pass_yds,18,256.021,222.996,1.148,3
DET,pass_yds,18,255.718,222.996,1.147,4
BAL,pass_yds,18,254.162,222.996,1.140,5
TB,pass_yds,18,252.912,222.996,1.134,6
TEN,pass_yds,18,251.144,222.996,1.126,7
WAS,pass_yds,18,248.838,222.996,1.116,8
PIT,pass_yds,18,241.604,222.996,1.083,9
ARI,pass_yds,18,240.977,222.996,1.081,10
SF,pass_yds,18,237.127,222.996,1.063,11
ATL,pass_yds,18,234.497,222.996,1.052,12
LA,pass_yds,18,233.469,222.996,1.047,13
CIN,pass_yds,18,230.626,222.996,1.034,14
MIA,pass_yds,18,229.240,222.996,1.028,15
NYJ,pass_yds,18,227.585,222.996,1.021,16
HOU,pass_yds,18,224.833,222.996,1.008,17
JAX,pass_yds,18,218.437,222.996,0.980,18
CAR,pass_yds,18,217.881,222.996,0.977,19
NYG,pass_yds,18,213.526,222.996,0.958,20
LV,pass_yds,18,206.731,222.996,0.927,21
DEN,pass_yds,18,205.061,222.996,0.920,22
LAC,pass_yds,18,204.914,222.996,0.919,23
GB,pass_yds,18,200.006,222.996,0.897,24
SEA,pass_yds,18,197.861,222.996,0.887,25
KC,pass_yds,18,195.540,222.996,0.877,26
CLE,pass_yds,18,195.042,222.996,0.875,27
NO,pass_yds,18,192.828,222.996,0.865,28
PHI,pass_yds,18,190.993,222.996,0.856,29
NE,pass_yds,18,190.887,222.996,0.856,30
MIN,pass_yds,18,187.416,222.996,0.840,31
BUF,pass_yds,18,173.454,222.996,0.778,32
DAL,pts_QB,18,22.849,16.179,1.412,1
NYJ,pts_QB,18,20.273,16.179,1.253,2
WAS,pts_QB,18,19.831,16.179,1.226,3
CHI,pts_QB,18,19.645,16.179,1.214,4
TB,pts_QB,18,19.082,16.179,1.179,5
TEN,pts_QB,18,18.964,16.179,1.172,6
IND,pts_QB,18,18.491,16.179,1.143,7
DET,pts_QB,18,18.343,16.179,1.134,8
ARI,pts_QB,18,17.708,16.179,1.095,9
PIT,pts_QB,18,17.074,16.179,1.055,10
MIA,pts_QB,18,17.072,16.179,1.055,11
CIN,pts_QB,18,16.712,16.179,1.033,12
BAL,pts_QB,18,16.685,16.179,1.031,13
NYG,pts_QB,18,16.455,16.179,1.017,14
ATL,pts_QB,18,16.424,16.179,1.015,15
LA,pts_QB,18,16.134,16.179,0.997,16
HOU,pts_QB,18,16.114,16.179,0.996,17
LV,pts_QB,18,15.779,16.179,0.975,18
CAR,pts_QB,18,15.757,16.179,0.974,19
SF,pts_QB,18,15.702,16.179,0.971,20
GB,pts_QB,18,15.432,16.179,0.954,21
DEN,pts_QB,18,15.293,16.179,0.945,22
CLE,pts_QB,18,14.560,16.179,0.900,23
PHI,pts_QB,18,14.333,16.179,0.886,24
JAX,pts_QB,18,14.263,16.179,0.882,25
NE,pts_QB,18,13.735,16.179,0.849,26
KC,pts_QB,18,13.648,16.179,0.844,27
NO,pts_QB,18,13.023,16.179,0.805,28
BUF,pts_QB,18,12.987,16.179,0.803,29
SEA,pts_QB,18,12.678,16.179,0.784,30
LAC,pts_QB,18,12.575,16.179,0.777,31
MIN,pts_QB,18,10.106,16.179,0.625,32
NYJ,pts_RB,18,28.332,22.153,1.279,1
CAR,pts_RB,18,27.656,22.153,1.248,2
MIA,pts_RB,18,26.942,22.153,1.216,3
ARI,pts_RB,18,25.975,22.153,1.173,4
CIN,pts_RB,18,25.702,22.153,1.160,5
DAL,pts_RB,18,25.442,22.153,1.148,6
NYG,pts_RB,18,25.066,22.153,1.131,7
WAS,pts_RB,18,24.944,22.153,1.126,8
SF,pts_RB,18,24.644,22.153,1.112,9
BUF,pts_RB,18,23.959,22.153,1.082,10
CLE,pts_RB,18,22.998,22.153,1.038,11
GB,pts_RB,18,22.992,22.153,1.038,12
BAL,pts_RB,18,22.580,22.153,1.019,13
LA,pts_RB,18,22.559,22.153,1.018,14
PHI,pts_RB,18,22.161,22.153,1.000,15
CHI,pts_RB,18,22.047,22.153,0.995,16
IND,pts_RB,18,21.956,22.153,0.991,17
LV,pts_RB,18,21.682,22.153,0.979,18
TB,pts_RB,18,21.519,22.153,0.971,19
NO,pts_RB,18,21.396,22.153,0.966,20
DET,pts_RB,18,21.105,22.153,0.953,21
PIT,pts_RB,18,20.603,22.153,0.930,22
TEN,pts_RB,18,19.901,22.153,0.898,23
ATL,pts_RB,18,19.859,22.153,0.896,24
DEN,pts_RB,18,19.120,22.153,0.863,25
HOU,pts_RB,18,18.958,22.153,0.856,26
NE,pts_RB,18,18.940,22.153,0.855,27
KC,pts_RB,18,18.624,22.153,0.841,28
JAX,pts_RB,18,17.923,22.153,0.809,29
LAC,pts_RB,18,17.880,22.153,0.807,30
SEA,pts_RB,18,17.829,22.153,0.805,31
MIN,pts_RB,18,17.611,22.153,0.795,32
CIN,pts_TE,18,18.355,13.288,1.381,1
ARI,pts_TE,18,18.189,13.288,1.369,2
TB,pts_TE,18,18.080,13.288,1.361,3
WAS,pts_TE,18,17.075,13.288,1.285,4
DET,pts_TE,18,15.866,13.288,1.194,5
NYJ,pts_TE,18,15.619,13.288,1.175,6
TEN,pts_TE,18,15.400,13.288,1.159,7
MIA,pts_TE,18,15.341,13.288,1.154,8
PIT,pts_TE,18,14.677,13.288,1.104,9
IND,pts_TE,18,14.652,13.288,1.103,10
HOU,pts_TE,18,14.305,13.288,1.077,11
SF,pts_TE,18,14.232,13.288,1.071,12
DEN,pts_TE,18,14.091,13.288,1.060,13
DAL,pts_TE,18,13.574,13.288,1.022,14
SEA,pts_TE,18,13.443,13.288,1.012,15
JAX,pts_TE,18,13.140,13.288,0.989,16
CAR,pts_TE,18,12.983,13.288,0.977,17
ATL,pts_TE,18,12.855,13.288,0.967,18
LA,pts_TE,18,12.547,13.288,0.944,19
CLE,pts_TE,18,12.190,13.288,0.917,20
CHI,pts_TE,18,12.160,13.288,0.915,21
KC,pts_TE,18,12.066,13.288,0.908,22
NO,pts_TE,18,11.949,13.288,0.899,23
NE,pts_TE,18,11.944,13.288,0.899,24
LAC,pts_TE,18,11.754,13.288,0.885,25
GB,pts_TE,18,11.601,13.288,0.873,26
NYG,pts_TE,18,10.611,13.288,0.799,27
BAL,pts_TE,18,10.143,13.288,0.763,28
LV,pts_TE,18,9.686,13.288,0.729,29
MIN,pts_TE,18,9.543,13.288,0.718,30
BUF,pts_TE,18,8.851,13.288,0.666,31
PHI,pts_TE,18,8.309,13.288,0.625,32
