episode_id,gsis_id,full_name,position,team,season,start_week,end_week,games_missed,ir_games,starts_on_ir,injury,carried_over,parts,n_base,base_share,base_ppg,return_key,games_to_normal,share_ratio_first4,ppg_after_first4,r1,r2,r3,r4,r5,r6,r7,r8,returned,ppg_ratio_first4
0,00-0007091,Matt Hasselbeck,QB,IND,2015,17,17,1,0,false,Shoulder,true,1,8,0.879,12.067,,,,,,,,,,,,,false,
1,00-0010346,Peyton Manning,QB,DEN,2015,11,16,6,0,false,Foot,false,1,8,1.000,11.925,201517,,0.440,2.560,0.440,,,,,,,,true,0.215
3,00-0020245,Mike Vick,QB,PHI,2013,9,9,1,0,false,Hamstring,false,1,5,0.870,20.380,201316,6,0.037,0.025,0.057,0.046,0.034,0.011,0.690,0.057,1.000,0.966,true,0.001
4,00-0020245,Mike Vick,QB,PIT,2015,7,8,2,0,false,Hamstring,false,1,8,0.606,8.294,,,,,,,,,,,,,false,
5,00-0020337,Steve Smith,WR,CAR,2013,17,17,1,0,false,Knee,true,1,8,0.845,10.225,201401,3,0.817,21.475,0.864,0.781,0.734,0.888,0.982,0.817,0.959,1.006,true,2.100
7,00-0020498,Reggie Wayne,WR,IND,2014,8,8,1,0,false,Elbow,false,1,8,0.859,13.212,201409,1,1.001,10.550,0.838,1.036,1.083,1.048,0.908,0.873,0.897,0.338,true,0.798
8,00-0020531,Drew Brees,QB,NO,2015,3,3,1,0,false,right Shoulder,false,1,8,1.000,18.780,201504,0,1.000,16.535,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,true,0.880
9,00-0020531,Drew Brees,QB,NO,2019,3,7,5,0,false,right Thumb,false,1,8,0.971,18.092,201908,0,0.994,19.990,0.947,1.030,0.988,1.009,0.988,0.968,0.927,0.999,true,1.105
10,00-0020531,Drew Brees,QB,NO,2020,11,14,4,4,true,right Shoulder,false,1,8,0.951,19.375,202015,0,0.946,15.847,1.030,0.957,0.852,,,,,,true,0.818
13,00-0021206,Josh McCown,QB,CLE,2015,2,2,1,0,false,Concussion,false,1,8,1.000,11.855,201503,0,1.000,22.270,1.000,1.000,1.000,1.000,0.910,0.890,0.810,1.000,true,1.879
14,00-0021206,Josh McCown,QB,CLE,2015,9,9,1,0,false,right Shoulder,false,1,8,0.897,13.915,201512,0,0.883,11.270,0.903,1.114,1.070,0.446,0.624,1.103,1.114,1.114,true,0.810
15,00-0021206,Josh McCown,QB,CLE,2016,3,7,5,0,false,left Shoulder,false,1,8,0.860,16.520,201608,3,0.846,9.425,1.116,0.465,0.651,1.151,1.163,1.163,1.163,1.163,true,0.571
16,00-0021206,Josh McCown,QB,NYJ,2017,15,17,3,3,true,Unlabeled (IR),true,1,8,1.000,20.258,201810,0,0.765,5.190,1.000,1.000,1.000,0.060,0.080,0.080,0.060,,true,0.256
17,00-0021206,Josh McCown,QB,HOU,2020,10,12,2,0,false,Not Injury Related,false,2,8,0.600,6.400,,,,,,,,,,,,,false,
19,00-0021429,Carson Palmer,QB,ARI,2014,5,5,1,0,false,right Shoulder,false,1,8,0.994,16.155,201406,0,1.006,18.685,1.006,1.006,1.006,1.006,0.865,1.006,1.006,0.966,true,1.157
20,00-0021429,Carson Palmer,QB,ARI,2016,5,5,1,0,false,Concussion,false,1,8,0.882,16.030,201606,0,1.108,16.015,1.031,1.133,1.133,1.133,1.133,1.133,1.133,1.133,true,0.999
21,00-0021429,Carson Palmer,QB,ARI,2017,9,17,9,9,true,Unlabeled (IR),true,1,8,0.989,16.863,,,,,,,,,,,,,false,
22,00-0021570,Kassim Osgood,WR,SF,2014,2,15,13,13,true,Unlabeled (IR),false,1,8,0.073,0.450,,,,,,,,,,,,,false,
23,00-0021678,Tony Romo,QB,DAL,2013,17,17,1,0,false,Back,true,1,8,0.975,15.732,201401,0,1.026,15.210,1.026,1.026,1.026,1.026,1.026,1.026,1.026,0.841,true,0.967
24,00-0021678,Tony Romo,QB,DAL,2015,1,9,16,7,true,Back,false,3,8,0.946,19.080,201617,,0.127,5.160,0.127,,,,,,,,true,0.270
30,00-0022178,Willis McGahee,RB,CLE,2013,15,15,1,0,false,Concussion,false,1,8,0.366,5.988,201316,,0.082,,0.082,,,,,,,,true,
33,00-0022414,Malcom Floyd,WR,SD,2015,11,11,1,0,false,Shoulder,false,1,8,0.794,9.988,201512,0,1.093,3.750,0.983,1.109,1.184,1.096,1.159,0.265,,,true,0.375
35,00-0022427,Wes Welker,WR,DEN,2013,15,17,3,0,false,Concussion,true,1,8,0.841,13.138,201403,3,0.823,10.150,0.773,0.999,0.571,0.951,0.927,0.689,0.975,1.117,true,0.773
37,00-0022787,Matt Schaub,QB,HOU,2013,7,7,1,0,false,Ankle,false,1,5,0.956,13.828,201311,2,0.756,7.055,0.492,0.439,1.046,1.046,0.251,1.046,1.046,0.031,true,0.510
38,00-0022787,Matt Schaub,QB,OAK,2014,4,4,1,0,false,Not Injury Related,false,1,8,0.777,9.637,201413,1,0.730,6.170,0.309,1.286,1.286,0.039,0.270,0.129,0.026,0.141,true,0.640
40,00-0022811,Jerricho Cotchery,WR,CAR,2015,3,4,2,0,false,Ankle,false,1,8,0.663,7.625,201506,,0.585,5.350,0.558,0.513,0.619,0.649,0.468,0.543,0.815,0.498,true,0.702
41,00-0022847,Ben Hartsock,TE,CAR,2013,11,12,2,0,false,Knee,false,1,8,0.400,0.000,201314,1,0.812,0.000,0.525,1.450,1.025,0.250,,,,,true,
