injury,severity,n,median_games_to_normal,pct_not_back,r1,r3,r5,r8,median_ppg_ratio_first4
Ankle,1-2 games,181,1.000,0.265,0.816,1.002,0.899,0.950,0.786
Ankle,3-5 games,74,0.000,0.284,0.920,0.945,0.988,0.924,0.761
Ankle,6+ games,41,0.500,0.512,0.588,0.731,0.551,0.932,0.859
Back,1-2 games,34,0.000,0.294,0.997,1.024,1.050,1.000,0.784
Calf,1-2 games,37,0.000,0.189,1.048,0.983,1.016,0.991,0.974
Concussion,1-2 games,239,0.000,0.209,0.983,1.043,0.979,0.993,0.907
Concussion,3-5 games,33,0.000,0.303,0.867,1.033,1.102,0.985,0.674
Foot,1-2 games,44,1.000,0.409,0.850,0.848,0.926,1.013,0.765
Foot,3-5 games,24,0.000,0.167,0.966,0.925,1.022,1.017,0.708
Foot,6+ games,30,1.000,0.333,0.789,1.009,0.861,0.937,0.541
Groin,1-2 games,47,0.000,0.277,0.965,1.041,1.013,0.891,0.854
Hamstring,1-2 games,178,1.000,0.225,0.890,1.012,0.994,0.985,0.990
Hamstring,3-5 games,68,1.000,0.279,0.727,0.955,0.911,0.879,0.805
Hamstring,6+ games,32,0.000,0.375,0.944,0.961,1.097,0.981,0.897
Hip,1-2 games,26,0.000,0.346,0.858,0.814,1.201,1.032,0.863
Illness,1-2 games,32,1.000,0.344,0.855,0.800,0.925,1.159,0.671
Knee,1-2 games,169,0.000,0.231,0.891,0.938,0.978,0.948,0.811
Knee,3-5 games,87,0.500,0.379,0.786,0.849,0.892,0.882,0.841
Knee,6+ games,81,0.000,0.444,0.775,0.884,0.875,0.867,0.644
Not Injury Related,1-2 games,27,0.000,0.222,0.934,1.027,0.975,0.976,1.090
Quadricep,1-2 games,21,1.000,0.286,0.696,0.800,0.779,0.824,0.814
Ribs,1-2 games,16,0.000,0.250,1.050,1.032,0.991,0.797,1.038
Shoulder,1-2 games,71,1.000,0.324,0.871,0.841,0.926,0.877,0.817
Shoulder,3-5 games,17,0.000,0.235,0.981,1.029,0.960,1.200,1.259
Shoulder,6+ games,21,1.000,0.381,0.861,0.886,0.942,0.809,0.630
Toe,1-2 games,15,1.000,0.333,0.798,0.861,0.837,0.806,0.923
Unlabeled (IR),1-2 games,181,0.000,0.282,0.877,0.893,0.947,1.006,0.770
Unlabeled (IR),3-5 games,103,1.000,0.301,0.800,0.979,0.858,0.917,0.686
Unlabeled (IR),6+ games,222,1.000,0.437,0.684,0.949,0.943,0.884,0.721
