position,severity,n,median_games_to_normal,pct_not_back,r1,r3,r5,r8,median_ppg_ratio_first4
QB,1-2 games,151,0.000,0.166,1.013,1.018,1.000,1.003,0.906
QB,3-5 games,55,0.000,0.236,1.026,1.033,1.030,1.026,0.889
QB,6+ games,62,0.000,0.290,1.001,1.003,1.001,1.001,0.909
RB,1-2 games,406,0.000,0.313,0.877,0.886,0.899,0.891,0.832
RB,3-5 games,156,1.000,0.276,0.797,0.972,0.904,0.915,0.787
RB,6+ games,160,1.000,0.525,0.633,0.877,0.745,0.835,0.602
TE,1-2 games,341,1.000,0.252,0.863,0.987,0.980,0.944,0.857
TE,3-5 games,124,1.000,0.347,0.792,0.921,0.897,0.853,0.774
TE,6+ games,134,1.000,0.440,0.722,0.911,0.856,0.817,0.687
WR,1-2 games,588,0.000,0.257,0.891,0.987,0.973,0.989,0.866
WR,3-5 games,219,1.000,0.279,0.776,0.921,0.941,0.964,0.738
WR,6+ games,215,1.000,0.372,0.781,0.911,0.877,0.932,0.679
