team,opponent,home,pass_yds_score,pts_QB_score,pts_RB_score,pts_TE_score,pts_WR_score,rush_yds_score,pass_yds_rank,pts_QB_rank,pts_RB_rank,pts_TE_rank,pts_WR_rank,rush_yds_rank
ARI,SEA,true,0.89,0.78,0.8,1.01,0.82,0.8,25,30,31,15,31,30
ATL,CAR,true,0.98,0.97,1.25,0.98,0.94,1.24,19,19,2,17,21,1
BAL,NO,true,0.86,0.8,0.97,0.9,0.92,1.02,28,28,20,23,24,15
BUF,DET,true,1.15,1.13,0.95,1.19,1.23,1.0,4,8,21,5,2,16
CAR,ATL,false,1.05,1.02,0.9,0.97,1.11,0.99,12,15,24,18,9,17
CHI,MIN,true,0.84,0.62,0.79,0.72,0.86,0.98,31,32,32,30,27,19
CIN,HOU,false,1.01,1.0,0.86,1.08,0.92,0.79,17,17,26,11,25,31
CLE,TB,false,1.13,1.18,0.97,1.36,0.98,0.84,6,5,19,3,18,28
DAL,WAS,true,1.12,1.23,1.13,1.28,1.11,1.24,8,3,8,4,8,2
DEN,JAX,true,0.98,0.88,0.81,0.99,0.97,0.72,18,25,29,16,19,32
DET,BUF,false,0.78,0.8,1.08,0.67,0.87,1.09,32,29,10,31,26,10
GB,NYJ,false,1.02,1.25,1.28,1.18,1.01,1.15,16,2,1,6,14,4
HOU,CIN,true,1.03,1.03,1.16,1.38,0.78,1.16,14,12,5,1,32,3
IND,KC,false,0.88,0.84,0.84,0.91,0.83,0.87,26,27,28,22,30,27
JAX,DEN,false,0.92,0.95,0.86,1.06,0.85,0.88,22,22,25,13,29,26
KC,IND,true,1.21,1.14,0.99,1.1,1.19,0.98,1,7,17,10,4,18
LA,NYG,true,0.96,1.02,1.13,0.8,1.03,1.13,20,14,7,27,12,5
LAC,LV,true,0.93,0.98,0.98,0.73,1.0,0.98,21,18,18,29,16,20
LV,LAC,false,0.92,0.78,0.81,0.88,0.94,0.88,23,31,30,25,22,25
MIA,SF,false,1.06,0.97,1.11,1.07,1.0,0.94,11,20,9,12,15,22
MIN,CHI,false,1.15,1.21,1.0,0.92,1.24,1.13,3,4,16,21,1,6
NE,PIT,true,1.08,1.06,0.93,1.1,1.03,0.95,9,10,22,9,11,21
NO,BAL,false,1.14,1.03,1.02,0.76,1.15,0.84,5,13,13,28,6,29
NYG,LA,false,1.05,1.0,1.02,0.94,1.11,1.03,13,16,14,19,7,14
NYJ,GB,true,0.9,0.95,1.04,0.87,1.04,1.1,24,21,12,26,10,7
PHI,TEN,false,1.13,1.17,0.9,1.16,1.15,0.92,7,6,23,7,5,24
PIT,NE,false,0.86,0.85,0.85,0.9,0.93,0.93,30,26,27,24,23,23
SEA,ARI,false,1.08,1.09,1.17,1.37,0.98,1.09,10,9,4,2,17,8
SF,MIA,true,1.03,1.06,1.22,1.15,1.01,1.09,15,11,3,8,13,11
TB,CLE,true,0.87,0.9,1.04,0.92,0.94,1.07,27,23,11,20,20,12
TEN,PHI,true,0.86,0.89,1.0,0.63,0.86,1.06,29,24,15,32,28,13
WAS,DAL,false,1.15,1.41,1.15,1.02,1.21,1.09,2,1,6,14,3,9
