gsis_id,full_name,position,age,games_observed,injuries,games_missed,raw_rate,prior_rate,shrunk_rate,expected_missed_per_17,most_common_injury
00-0036556,Brevin Jordan,TE,26.1,36,1,32,0.889,0.182,0.662,11.3,
00-0039811,MarShawn Lloyd,RB,25.7,36,1,32,0.889,0.163,0.656,11.2,Ankle
00-0039344,Jonathon Brooks,RB,23.1,36,2,30,0.833,0.181,0.624,10.6,Knee
00-0035045,D.J. Montgomery,WR,29.8,19,1,19,1.0,0.171,0.608,10.3,
00-0040215,Gavin Bartholomew,TE,23.3,19,1,17,0.895,0.211,0.572,9.7,Back
00-0040081,Jake Briningstool,TE,23.7,19,1,17,0.895,0.211,0.572,9.7,Hamstring
00-0040568,Lan Larison,RB,24.9,18,1,17,0.944,0.163,0.565,9.6,
00-0033537,Deshaun Watson,QB,31.0,36,1,27,0.75,0.086,0.537,9.1,Achilles
00-0039814,Erick All,TE,26.0,36,1,25,0.694,0.188,0.532,9.0,Knee
00-0040589,Kurtis Rourke,QB,25.9,19,1,17,0.895,0.088,0.514,8.7,Knee
00-0037156,Irvin Charles,WR,29.4,36,1,23,0.639,0.171,0.489,8.3,
00-0039067,Rashee Rice,WR,26.4,36,2,22,0.611,0.16,0.466,7.9,Ankle
00-0038977,Tank Dell,WR,26.8,36,2,22,0.611,0.16,0.466,7.9,Knee
00-0039923,J.J. McCarthy,QB,23.6,36,4,22,0.611,0.101,0.447,7.6,Ankle
00-0038551,Kendre Miller,RB,24.2,36,4,20,0.556,0.163,0.43,7.3,Hamstring
00-0039236,Johnny Wilson,WR,25.4,36,1,19,0.528,0.194,0.421,7.2,
00-0033110,Tyler Higbee,TE,33.7,36,2,20,0.556,0.124,0.417,7.1,Not injury related - resting player
00-0037742,Treylon Burks,WR,26.4,33,2,18,0.545,0.16,0.414,7.0,Knee
00-0039365,Jacob Cowing,WR,25.6,36,2,18,0.5,0.194,0.402,6.8,Concussion
00-0035645,Gunner Olszewski,WR,29.8,36,2,18,0.5,0.171,0.394,6.7,Groin
00-0033921,Chris Godwin Jr.,WR,30.5,36,2,18,0.5,0.156,0.39,6.6,Fibula
00-0036646,Simi Fehoko,WR,28.8,35,2,17,0.486,0.171,0.383,6.5,
00-0037327,Skylar Thompson,QB,29.2,34,1,18,0.529,0.087,0.382,6.5,Hamstring
00-0033553,James Conner,RB,31.3,36,2,17,0.472,0.169,0.375,6.4,Foot
00-0031595,Michael Burton,RB,34.6,36,1,17,0.472,0.169,0.375,6.4,
00-0039921,Trey Benson,RB,24.1,36,2,17,0.472,0.163,0.373,6.3,Ankle
00-0040432,Beaux Collins,WR,23.7,19,1,10,0.526,0.172,0.359,6.1,Neck
00-0040718,Travis Hunter,WR,23.3,19,1,10,0.526,0.172,0.359,6.1,Knee
00-0037132,Britain Covey,WR,29.5,25,2,12,0.48,0.171,0.355,6.0,Neck
00-0037276,Ty Chandler,RB,28.3,36,2,16,0.444,0.144,0.348,5.9,Knee
00-0028986,Case Keenum,QB,38.5,36,1,17,0.472,0.086,0.348,5.9,
00-0039916,Ricky Pearsall,WR,26.0,36,4,15,0.417,0.194,0.345,5.9,Knee
00-0037317,Nick Muse,TE,27.8,15,1,8,0.533,0.182,0.347,5.9,
00-0039737,Tip Reiman,TE,25.0,36,2,15,0.417,0.188,0.343,5.8,Foot
00-0039337,Malik Nabers,WR,23.1,36,2,15,0.417,0.172,0.338,5.8,Concussion
00-0034775,Christian Kirk,WR,29.8,36,3,15,0.417,0.171,0.338,5.7,Collarbone
00-0037197,Isiah Pacheco,RB,27.5,36,4,15,0.417,0.159,0.334,5.7,Rib
00-0039263,McCallan Castles,TE,26.7,4,1,4,1.0,0.182,0.338,5.7,
00-0040715,Cam Skattebo,RB,24.6,19,1,9,0.474,0.163,0.327,5.6,
00-0039855,Jalen McMillan,WR,24.7,36,2,14,0.389,0.194,0.326,5.5,Neck
00-0037311,Ko Kieft,TE,28.6,36,1,14,0.389,0.14,0.309,5.3,
00-0036893,Najee Harris,RB,28.5,36,1,14,0.389,0.144,0.31,5.3,
00-0040648,Tory Horton,WR,23.8,19,1,8,0.421,0.172,0.304,5.2,Shin
